"","Race","meanage","minage","maxage","medianage","lowerquartile","upperquartile","n"
"1","Black or African American",25,0,83,22,8,39,1558
"2","White",35,0,83,37,22,52,1515
"3","Multi-racial",23,0,77,20,6,37,243
"4","Unknown",35,0,77,35,23,49,109
"5","American Indian or Alaska Native",39,0,80,42,24,53,88
"6","Asian",30,1,76,31,11,48,80
"7","Native Hawaiian or Other Pacific Islander",32,5,66,31,19,46,67
