"","Race","meanage","minage","maxage","medianage","lowerquartile","upperquartile","n"
"1","White",35,0,82,36,22,51,2466
"2","Black or African American",26,0,85,24,9,42,2238
"3","Multi-racial",20,0,79,15,4,33,335
"4","American Indian or Alaska Native",41,1,71,42,30,55,102
"5","Unknown",32,2,75,26,21,42,76
"6","Asian",32,1,77,29,20,47,70
"7","Native Hawaiian or Other Pacific Islander",34,0,73,33,22,45,64
