"","Race","meanage","minage","maxage","medianage","lowerquartile","upperquartile","n"
"1","White",35,0,81,37,22,50,2161
"2","Black or African American",26,0,85,24,8,41,1939
"3","Multi-racial",21,0,77,17,4,37,281
"4","American Indian or Alaska Native",34,1,74,35,25,48,102
"5","Native Hawaiian or Other Pacific Islander",25,0,66,26,5,40,80
"6","Asian",32,1,63,36,23,46,63
"7","Unknown",44,24,68,46,35,54,30
